Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
1962,20100530:0900,15.3,24,8.0,24,3.3,24,-,-,-,D
1962,20100531:0900,14.9,24,7.6,24,3.6,24,-,-,-,D
1962,20100601:0900,14.7,24,9.4,24,10.5,24,-,-,-,D
1962,20100602:0900,15.8,24,10.3,24,8.3,24,-,-,-,D
1962,20100603:0900,18.3,24,12.3,24,8.7,24,-,-,-,D
1962,20100604:0900,16.3,24,7.4,24,4.5,24,-,-,-,D
1962,20100605:0900,15.5,24,6.3,24,3.0,24,-,-,-,D
1962,20100606:0900,17.2,24,11.1,24,11.1,24,-,-,-,D
1962,20100607:0900,17.8,24,14.5,24,13.2,24,-,-,-,D
1962,20100608:0900,17.7,24,9.4,24,8.3,24,-,-,-,D
1962,20100609:0900,13.3,24,4.9,24,0.6,24,-,-,-,D
1962,20100610:0900,14.0,24,8.0,24,4.7,24,-,-,-,D
1962,20100611:0900,15.8,24,10.3,24,9.6,24,-,-,-,D
1962,20100612:0900,15.8,24,12.1,24,10.0,24,-,-,-,D
1962,20100613:0900,16.9,24,9.4,24,7.2,24,-,-,-,D
1962,20100614:0900,14.7,24,8.4,24,6.1,24,-,-,-,D
1962,20100615:0900,15.0,24,9.5,24,8.3,24,-,-,-,D
1962,20100616:0900,13.0,24,3.0,24,-0.2,24,-,-,-,D
1962,20100617:0900,13.8,24,4.3,24,1.1,24,-,-,-,D
1962,20100618:0900,15.3,24,6.6,24,2.3,24,-,-,-,D
1962,20100619:0900,16.6,24,12.0,24,9.1,24,-,-,-,D
1962,20100620:0900,16.2,24,14.1,24,13.4,24,-,-,-,D
1962,20100621:0900,17.7,24,12.4,24,9.7,24,-,-,-,D
1962,20100622:0900,16.9,24,9.1,24,4.2,24,-,-,-,D
1962,20100623:0900,14.9,24,6.6,24,4.3,24,-,-,-,D
1962,20100624:0900,15.1,24,7.0,24,2.5,24,-,-,-,D
1962,20100625:0900,12.1,24,8.1,24,3.9,24,-,-,-,D
1962,20100626:0900,11.7,24,6.3,24,2.2,24,-,-,-,D
1962,20100627:0900,13.7,24,7.3,24,6.1,24,-,-,-,D
1962,20100628:0900,15.5,24,6.6,24,4.3,24,-,-,-,D
1962,20100629:0900,15.1,24,10.0,24,8.6,24,-,-,-,D
1962,20100630:0900,15.6,24,9.3,24,7.5,24,-,-,-,D
1962,20100701:0900,14.8,24,6.8,24,2.3,24,-,-,-,D
1962,20100702:0900,13.9,24,7.7,24,3.4,24,-,-,-,D
1962,20100703:0900,15.7,24,4.5,24,1.5,24,-,-,-,D
1962,20100704:0900,15.1,24,8.0,24,5.3,24,-,-,-,D
1962,20100705:0900,13.7,24,9.9,24,9.7,24,-,-,-,D
1962,20100706:0900,14.8,24,10.7,24,9.9,24,-,-,-,D
1962,20100707:0900,16.2,24,11.9,24,10.3,24,-,-,-,D
1962,20100708:0900,14.3,24,11.0,24,9.0,24,-,-,-,D
1962,20100709:0900,13.5,24,6.8,24,0.9,24,-,-,-,D
1962,20100710:0900,12.6,24,3.6,24,-1.2,24,-,-,-,D
1962,20100711:0900,11.5,24,2.4,24,-3.9,24,-,-,-,D
1962,20100712:0900,11.6,24,3.1,24,-1.2,24,-,-,-,D
1962,20100713:0900,12.8,24,4.5,24,0.0,24,-,-,-,D
1962,20100714:0900,12.5,24,3.5,24,-1.4,24,-,-,-,D
1962,20100715:0900,13.5,24,3.5,24,-1.5,24,-,-,-,D
