Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland, North Shore Albany Ews,37852,A64776,-36.74827,174.71377,64,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
37852,20101127:2259,11.5,24,D
37852,20101128:2259,8.3,24,D
37852,20101129:2259,10.5,24,D
37852,20101130:2259,5.1,24,D
37852,20101201:2259,9.1,24,D
37852,20101202:2259,1.8,24,D
37852,20101203:2259,3.8,24,D
37852,20101204:2259,6.6,24,D
37852,20101205:2259,8.8,24,D
37852,20101206:2259,10.6,24,D
37852,20101207:2259,8.5,24,D
37852,20101208:2259,6.6,24,D
37852,20101209:2259,10.2,24,D
37852,20101210:2259,13.3,24,D
37852,20101211:2259,10.2,24,D
37852,20101212:2259,7.0,24,D
37852,20101213:2259,11.0,24,D
37852,20101214:2259,0.8,24,D
37852,20101215:2259,9.7,24,D
37852,20101216:2259,0.0,24,D
37852,20101217:2259,0.9,24,D
37852,20101218:2259,1.0,24,D
37852,20101219:2259,0.0,24,D
37852,20101220:2259,3.2,24,D
37852,20101221:2259,9.4,24,D
37852,20101222:2259,8.9,24,D
37852,20101223:2259,13.2,24,D
37852,20101224:2259,1.4,24,D
37852,20101225:2259,5.5,24,D
37852,20101226:2259,8.3,24,D
37852,20101227:2259,7.0,24,D
37852,20101228:2259,0.0,24,D
37852,20101229:2259,11.1,24,D
37852,20101230:2259,5.6,24,D
37852,20101231:2259,9.7,24,D
37852,20110101:2259,11.6,24,D
37852,20110102:2259,12.1,24,D
37852,20110103:2259,13.5,24,D
37852,20110104:2259,6.3,24,D
37852,20110105:2259,9.6,24,D
37852,20110106:2259,5.1,24,D
37852,20110107:2259,6.3,24,D
37852,20110108:2259,13.4,24,D
37852,20110109:2259,10.1,24,D
37852,20110110:2259,8.6,24,D
37852,20110111:2259,10.8,24,D
37852,20110112:2259,10.6,24,D
37852,20110113:2259,8.0,24,D
37852,20110114:2259,10.7,24,D
37852,20110115:2259,12.4,24,D
37852,20110116:2259,10.2,24,D
37852,20110117:2259,5.0,24,D
37852,20110118:2259,0.6,24,D
37852,20110119:2259,10.3,24,D
37852,20110120:2259,11.7,24,D
37852,20110121:2259,2.6,24,D
37852,20110122:2259,0.0,24,D
37852,20110123:2259,0.2,24,D
37852,20110124:2259,7.5,24,D
37852,20110125:2259,4.6,24,D
37852,20110126:2259,10.9,24,D
37852,20110127:2259,12.8,24,D
37852,20110128:2259,0.0,24,D
37852,20110129:2259,7.6,24,D
37852,20110130:2259,7.8,24,D
37852,20110131:2259,5.0,24,D
37852,20110201:2259,10.7,24,D
37852,20110202:2259,6.2,24,D
37852,20110203:2259,2.9,24,D
37852,20110204:2259,1.5,24,D
37852,20110205:2259,6.8,24,D
