Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
4843,20101018:2259,11.0,24,D
4843,20101019:2259,6.4,24,D
4843,20101020:2259,8.9,24,D
4843,20101021:2259,10.2,24,D
4843,20101022:2259,12.4,24,D
4843,20101023:2259,10.3,24,D
4843,20101024:2259,2.6,24,D
4843,20101025:2259,8.5,24,D
4843,20101026:2259,9.7,24,D
4843,20101027:2259,6.0,24,D
4843,20101028:2259,9.2,24,D
4843,20101029:2259,0.0,24,D
4843,20101030:2259,8.5,24,D
4843,20101031:2259,10.9,24,D
4843,20101101:2259,13.2,24,D
4843,20101102:2259,13.2,24,D
4843,20101103:2259,12.6,24,D
4843,20101104:2259,8.4,24,D
4843,20101105:2259,0.5,24,D
4843,20101106:2259,6.7,24,D
4843,20101107:2259,12.6,24,D
4843,20101108:2259,8.4,24,D
4843,20101109:2259,13.4,24,D
4843,20101110:2259,12.4,24,D
4843,20101111:2259,10.6,24,D
4843,20101112:2259,12.5,24,D
4843,20101113:2259,11.7,24,D
4843,20101114:2259,0.0,24,D
4843,20101115:2259,3.2,24,D
4843,20101116:2259,8.9,24,D
4843,20101117:2259,0.3,24,D
4843,20101118:2259,8.6,24,D
4843,20101119:2259,7.8,24,D
4843,20101120:2259,0.0,24,D
4843,20101121:2259,9.4,24,D
4843,20101122:2259,8.8,24,D
4843,20101123:2259,10.6,24,D
4843,20101124:2259,13.9,24,D
4843,20101125:2259,3.9,24,D
4843,20101126:2259,14.0,24,D
4843,20101127:2259,12.3,24,D
4843,20101128:2259,8.5,24,D
4843,20101129:2259,10.9,24,D
4843,20101130:2259,7.0,24,D
4843,20101201:2259,0.1,24,D
4843,20101202:2259,0.0,24,D
4843,20101203:2259,10.7,24,D
4843,20101204:2259,12.0,24,D
4843,20101205:2259,6.2,24,D
4843,20101206:2259,7.7,24,D
4843,20101207:2259,0.0,24,D
4843,20101208:2259,0.4,24,D
4843,20101209:2259,11.7,24,D
4843,20101210:2259,1.6,24,D
4843,20101211:2259,13.9,24,D
4843,20101212:2259,10.1,24,D
4843,20101213:2259,6.9,24,D
4843,20101214:2259,6.6,24,D
4843,20101215:2259,1.4,24,D
4843,20101216:2259,0.3,24,D
4843,20101217:2259,0.7,24,D
4843,20101218:2259,11.4,24,D
4843,20101219:2259,4.7,24,D
4843,20101220:2259,3.2,24,D
4843,20101221:2259,7.5,24,D
4843,20101222:2259,13.7,24,D
4843,20101223:2259,10.9,24,D
4843,20101224:2259,11.6,24,D
4843,20101225:2259,12.4,24,D
4843,20101226:2259,0.0,24,D
4843,20101227:2259,8.6,24,D
4843,20101228:2259,0.1,24,D
4843,20101229:2259,13.7,24,D
4843,20101230:2259,8.0,24,D
4843,20101231:2259,8.1,24,D
4843,20110101:2259,9.0,24,D
4843,20110102:2259,6.1,24,D
4843,20110103:2259,14.0,24,D
4843,20110104:2259,0.0,24,D
4843,20110105:2259,0.0,24,D
4843,20110106:2259,7.8,24,D
4843,20110107:2259,11.2,24,D
4843,20110108:2259,13.2,24,D
4843,20110109:2259,14.2,24,D
4843,20110110:2259,11.2,24,D
4843,20110111:2259,0.9,24,D
4843,20110112:2259,0.0,24,D
4843,20110113:2259,11.3,24,D
4843,20110114:2259,13.3,24,D
4843,20110115:2259,7.7,24,D
4843,20110116:2259,12.4,24,D
4843,20110117:2259,0.5,24,D
4843,20110118:2259,0.0,24,D
4843,20110119:2259,12.0,24,D
4843,20110120:2259,0.1,24,D
4843,20110121:2259,0.1,24,D
4843,20110122:2259,1.8,24,D
4843,20110123:2259,2.2,24,D
4843,20110124:2259,12.4,24,D
4843,20110125:2259,7.6,24,D
4843,20110126:2259,5.7,24,D
4843,20110127:2259,8.1,24,D
4843,20110128:2259,8.7,24,D
4843,20110129:2259,9.8,24,D
4843,20110130:2259,3.7,24,D
4843,20110131:2259,4.0,24,D
4843,20110201:2259,12.0,24,D
4843,20110202:2259,8.3,24,D
4843,20110203:2259,4.9,24,D
4843,20110204:2259,12.9,24,D
4843,20110205:2259,3.4,24,D
4843,20110206:2259,10.1,24,D
4843,20110207:2259,0.0,24,D
4843,20110208:2259,13.5,24,D
4843,20110209:2259,6.9,24,D
4843,20110210:2259,13.7,24,D
4843,20110211:2259,6.3,24,D
4843,20110212:2259,6.4,24,D
4843,20110213:2259,1.6,24,D
4843,20110214:2259,3.4,24,D
4843,20110215:2259,9.2,24,D
4843,20110216:2259,12.5,24,D
4843,20110217:2259,12.8,24,D
4843,20110218:2259,5.9,24,D
4843,20110219:2259,0.5,24,D
4843,20110220:2259,9.6,24,D
4843,20110221:2259,12.4,24,D
4843,20110222:2259,0.0,24,D
4843,20110223:2259,1.3,24,D
4843,20110224:2259,11.8,24,D
4843,20110225:2259,0.0,24,D
4843,20110226:2259,1.4,24,D
4843,20110227:2259,10.2,24,D
4843,20110228:2259,6.6,24,D
4843,20110301:2259,6.4,24,D
4843,20110302:2259,7.4,24,D
4843,20110303:2259,11.7,24,D
4843,20110304:2259,8.8,24,D
4843,20110305:2259,5.5,24,D
4843,20110306:2259,8.5,24,D
4843,20110307:2259,6.0,24,D
4843,20110308:2259,9.1,24,D
4843,20110309:2259,10.6,24,D
4843,20110310:2259,8.0,24,D
4843,20110311:2259,0.9,24,D
4843,20110312:2259,0.0,24,D
4843,20110313:2259,6.9,24,D
4843,20110314:2259,6.8,24,D
4843,20110315:2259,7.3,24,D
4843,20110316:2259,7.8,24,D
4843,20110317:2259,2.5,24,D
4843,20110318:2259,8.5,24,D
4843,20110319:2259,0.0,24,D
4843,20110320:2259,0.1,24,D
4843,20110321:2259,5.7,24,D
4843,20110322:2259,0.0,24,D
4843,20110323:2259,4.5,24,D
4843,20110324:2259,9.1,24,D
4843,20110325:2259,9.7,24,D
4843,20110326:2259,9.6,24,D
