Grid demand trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20200429171210

Parameters
Date range,01 Jan 2010 - 28 Apr 2020
Region type,Zone
Time scale,Day
Show,Final pricing demand

Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
06/02/2010,06/02/2010,N/A,USI,Upper South Island,14.994
06/02/2010,06/02/2010,N/A,LSI,Lower South Island,22.793
07/02/2010,07/02/2010,N/A,UNI,Upper North Island,24.330
07/02/2010,07/02/2010,N/A,CNI,Central North Island,18.723
07/02/2010,07/02/2010,N/A,LNI,Lower North Island,14.655
07/02/2010,07/02/2010,N/A,USI,Upper South Island,14.985
07/02/2010,07/02/2010,N/A,LSI,Lower South Island,22.864
08/02/2010,08/02/2010,N/A,UNI,Upper North Island,30.099
08/02/2010,08/02/2010,N/A,CNI,Central North Island,21.086
08/02/2010,08/02/2010,N/A,LNI,Lower North Island,16.099
08/02/2010,08/02/2010,N/A,USI,Upper South Island,16.856
08/02/2010,08/02/2010,N/A,LSI,Lower South Island,23.667
09/02/2010,09/02/2010,N/A,UNI,Upper North Island,30.915
09/02/2010,09/02/2010,N/A,CNI,Central North Island,22.298
09/02/2010,09/02/2010,N/A,LNI,Lower North Island,16.153
09/02/2010,09/02/2010,N/A,USI,Upper South Island,17.313
09/02/2010,09/02/2010,N/A,LSI,Lower South Island,23.886
10/02/2010,10/02/2010,N/A,UNI,Upper North Island,30.439
10/02/2010,10/02/2010,N/A,CNI,Central North Island,24.032
10/02/2010,10/02/2010,N/A,LNI,Lower North Island,17.043
10/02/2010,10/02/2010,N/A,USI,Upper South Island,17.293
10/02/2010,10/02/2010,N/A,LSI,Lower South Island,24.199
11/02/2010,11/02/2010,N/A,UNI,Upper North Island,30.494
11/02/2010,11/02/2010,N/A,CNI,Central North Island,23.689
11/02/2010,11/02/2010,N/A,LNI,Lower North Island,16.003
11/02/2010,11/02/2010,N/A,USI,Upper South Island,17.002
11/02/2010,11/02/2010,N/A,LSI,Lower South Island,24.149
12/02/2010,12/02/2010,N/A,UNI,Upper North Island,30.446
12/02/2010,12/02/2010,N/A,CNI,Central North Island,23.936
12/02/2010,12/02/2010,N/A,LNI,Lower North Island,17.223
12/02/2010,12/02/2010,N/A,USI,Upper South Island,16.423
12/02/2010,12/02/2010,N/A,LSI,Lower South Island,23.548
13/02/2010,13/02/2010,N/A,UNI,Upper North Island,25.823
13/02/2010,13/02/2010,N/A,CNI,Central North Island,22.583
